,xData,poor_simul,midpoor_simul,midrich_simul,rich_simul,round
0,52.543367064910896,22304.36585828229,63296.62153036841,170072.74588400582,773327.5252451054,53.0
1,52.44169041946259,22277.651740161433,63120.70077650987,169978.8506574069,773302.8552620767,52.0
2,52.34459251521159,22256.238949971463,62944.77961205807,169897.91170883153,773285.7470288452,52.0
3,52.25209887761769,22234.147942237556,62769.742662060926,169828.33378583175,773273.8723611244,52.0
4,52.16423399848911,22213.216204582375,62596.43648401755,169768.65892298752,773265.6207473576,52.0
5,52.08102130509652,22192.862190648357,62425.70423134063,169717.5695320468,773259.8769827858,52.0
6,52.00248313027666,22172.17895052399,62258.33480161714,169673.8867208027,773255.8675841178,52.0
7,51.92864068361023,22152.08146250527,62095.017653894836,169636.56507800097,773253.054949793,52.0
8,51.8595140237574,21996.407050000642,62420.56432265476,169459.87326485952,798794.3333676726,52.0
9,51.79512203203195,22080.759479934004,62139.78164513398,170234.7326035492,793181.6546865107,52.0
10,51.73548238729269,22093.119435417302,61860.31326761406,170041.61387943887,785869.5945576108,52.0
11,51.680611542227936,22113.628184832607,63764.44709417305,176625.02634971464,807369.768542329,52.0
12,51.630524701105394,22128.803511610877,64817.095504225465,177202.01055878663,807171.7941369414,52.0
13,51.58523579905635,22099.923030399907,64609.81004558664,176365.41252545608,806829.3133457667,52.0
14,51.54475748295879,22081.397433650687,64390.664606046776,175573.14370814664,806321.3970216783,52.0
15,51.50910109397976,22055.914751042175,64160.16355725157,174833.85567879962,805555.6491343245,52.0
16,51.478276651832644,22110.144227045894,64415.55444231587,174167.16496868918,804402.6676596027,51.0
17,51.4522928407997,22085.461542906265,64217.88742419918,173549.93509907453,802695.3765562519,51.0
18,51.431156997565196,22091.016593171385,64014.29455007113,172994.8725935699,800248.5512229577,51.0
19,51.41487510089848,22084.432040569907,63805.713478630234,174033.0915604708,796915.2616826232,51.0
20,51.403451763220936,22075.1687980228,63593.15298791706,173658.71731116215,792682.9340755176,51.0
21,51.3968902240843,22140.78763324077,65243.70328293022,191231.60779782172,851397.9712357391,51.0
22,51.395192345581926,22274.405027601842,66681.33644744442,191024.42391805752,847301.456567789,51.0
23,51.3983586097081,22265.125636534354,66549.90167701895,190731.8544392425,844270.0787332384,51.0
24,51.4063881176741,22298.506607354844,66418.55800747966,190313.2685680699,842019.2609678825,51.0
25,51.41927859118344,22268.328024644663,66273.96163648333,190069.78830529682,836120.9525399854,51.0
26,51.437026375661794,22234.8591671613,66147.99884281002,189967.8837910145,836002.8574901086,51.0
27,51.459626445431155,22202.949924657634,66009.66357934306,189832.95011781072,835896.1259426186,51.0
28,51.48707241081113,22175.227408327286,65831.43195422499,189620.24066556993,835797.3214351743,51.0
29,51.519356527123854,22146.287148758314,65667.66347973364,189424.69679282943,835711.1948392738,52.0
30,51.55646970557323,22121.611127820444,65488.92805816077,189177.52795840648,835633.9644643548,52.0
31,51.59840152596281,22044.858417003612,65297.78013347108,187519.87340553515,822331.3674820048,52.0
32,51.645140251211174,21971.090886628794,65094.00397638312,187015.58541316685,820027.4705103658,52.0
33,51.696672843617925,21949.33613587989,64913.28917303001,186564.08096950935,817809.7552970072,52.0
34,51.75298498282832,21923.05273863045,64721.529117552695,186062.20916226332,815779.5117705285,52.0
35,51.81406108543939,21901.52912564229,64521.60643790333,185508.50667694423,814005.6713708056,52.0
36,51.87988432618596,21877.210563801546,64314.28762515831,184902.9906562629,812518.6788515958,52.0
37,51.95043666064056,21854.48692099189,64100.58765551247,184247.49383216372,811315.2287823093,52.0
38,52.025698849357305,21832.628408147422,63881.69949899584,183545.90328417456,810368.9595034561,52.0
39,52.105650483386235,21862.409985104514,63086.469387511635,171918.17225398452,780390.65225272,52.0
40,52.190270011081566,21890.626462321627,61806.74052415288,169976.45170330082,753489.0075034981,52.0
41,52.279534766124215,21858.809467957362,60707.704575557684,169478.60552143105,752807.3462268193,52.0
42,52.37342099667713,21843.53731614219,60533.49063509466,169360.69845782587,752703.6623004797,52.0
43,52.47190389558942,21729.932829417736,59708.22036349461,169136.94093719893,752625.9647212245,52.0
44,52.574957631564125,21709.336416853217,59582.344579713696,169080.22826899684,752564.5022126392,53.0
45,52.682555381203315,21693.586506438485,59465.424868326736,169032.49564493875,752514.4728650574,53.0
46,52.7946693618432,21675.706082663946,59356.8820232562,168992.06014937616,752472.3427395402,53.0
47,52.91127086509202,21660.159618895625,59255.815602306284,168957.57736988796,752435.9185351447,53.0
48,53.03233029098313,21647.055203649663,59162.23688718546,168928.2140591409,752403.822438306,53.0
49,53.15781718265638,21630.361907961702,59075.331171235826,168902.5487518635,752375.1770294277,53.0
50,53.28770026148162,21614.48741560917,58994.48966074773,168880.2353961269,752349.4148895942,53.0
51,53.42194746253921,21599.133021868107,58919.27199669091,168860.70999426462,752326.1627893271,53.0
52,53.56052597037384,21594.32047374168,58849.144316839665,169090.61164755834,752305.1707983103,54.0
53,53.703402254939874,21578.304722358327,58783.67607448224,169005.50306848547,752286.2686333606,54.0
54,53.850542107658235,21570.640714390243,58958.280250436255,170203.96992585014,841515.5739737027,54.0
55,54.00191067750717,21631.349520763004,60534.08356059916,174144.02015286614,846137.7604652368,54.0
56,54.157472507071944,21624.220176695988,60413.066869354654,174326.83676775772,845326.0850307451,54.0
57,54.31719156848083,21608.1541130711,60246.03964619795,173625.9179744294,843810.8248488843,54.0
58,54.48103129915802,21298.153660239277,57469.439040930054,167808.02431918777,752155.1672700398,54.0
59,54.64895463732702,21265.757125899087,57252.31581799987,167379.6695532925,751806.2259150273,55.0
