,xData,poor_simul,midpoor_simul,midrich_simul,rich_simul,round
0,52.543367064910896,-5609.776154036276,838.6388296107915,66386.40581450386,405662.86240026937,53.0
1,52.44169041946259,-5522.9711673877355,1000.9467564832457,66750.43618896602,406946.5168270502,52.0
2,52.34459251521159,-5439.798272972682,1160.404343086502,67106.67811246916,408200.9862648875,52.0
3,52.25209887761769,-5357.655633616795,1316.9935409849097,67454.97454534518,409425.9181343127,52.0
4,52.16423399848911,-5278.099615175693,1470.6934370329143,67795.17559251496,410620.97500604845,52.0
5,52.08102130509652,-5200.425412543768,1621.4633313189483,68127.13833346567,411785.8313994331,52.0
6,52.00248313027666,-5124.519839434244,1769.2534578090595,68450.72656788102,412920.1716086824,52.0
7,51.92864068361023,-5050.590247145183,1914.0093099862704,68765.81050646359,414023.6882614059,52.0
8,51.8595140237574,-5052.932233899129,1593.292859865084,69042.88337457331,408754.8812947047,52.0
9,51.79512203203195,-5062.450360306379,1720.37440952297,67831.01386985857,409619.54294984887,52.0
10,51.73548238729269,-5015.643615629422,1845.0998379684643,68133.71677772506,410500.1222035294,52.0
11,51.680611542227936,-5045.1064257823455,1635.3759310194612,66747.61470912045,410851.4659417129,52.0
12,51.630524701105394,-5038.437980706208,1607.0377001096224,66861.9480923542,411526.62253319414,52.0
13,51.58523579905635,-4977.046102227694,1691.8995174943507,67079.20341297463,412170.15102016274,52.0
14,51.54475748295879,-4921.7569720720285,1773.6653137727308,67293.0016313591,412782.4660763592,52.0
15,51.50910109397976,-4862.67294844007,1852.4227431997945,67502.98619067235,413365.1598449424,52.0
16,51.478276651832644,-4828.458677093194,1897.7971425291037,67708.01506451593,413920.728083307,51.0
17,51.4522928407997,-4776.203358345039,1966.8421201948192,67908.75592242634,414452.86779656867,51.0
18,51.431156997565196,-4729.895243767711,2032.7301512487256,68104.14455049281,414966.6920867273,51.0
19,51.41487510089848,-4673.903275829795,2095.4980107414262,68369.66064626166,415468.62426162994,51.0
20,51.403451763220936,-4622.444811552,2155.1725786413663,68551.64450834904,415965.6519750943,51.0
21,51.3968902240843,-4546.555872972924,2684.7321697822504,70942.02038304147,432563.28234600485,51.0
22,51.395192345581926,-4454.072498245528,3252.6842415928268,71764.59022845868,434141.1319129081,51.0
23,51.3983586097081,-4405.619960616349,3382.790415201754,72120.4760358192,434649.22460037743,51.0
24,51.4063881176741,-4351.285190774551,3488.610171293944,72276.97880514796,434830.49578993855,51.0
25,51.41927859118344,-4316.069706230577,3493.7625119603754,72282.86024546195,436131.0152309622,51.0
26,51.437026375661794,-4289.624579941572,3487.41151083494,72248.97355173418,436077.8167760466,51.0
27,51.459626445431155,-4264.955387834405,3477.0040461945255,72206.03359748611,435987.1875531955,51.0
28,51.48707241081113,-4242.452466605338,3468.84933621825,72158.97065345434,435859.2973625027,51.0
29,51.519356527123854,-4222.825231118226,3450.8889119911023,72096.10040056298,435693.78385581763,52.0
30,51.55646970557323,-4210.700085858565,3429.5428373602,72024.65465365136,435490.8260952076,52.0
31,51.59840152596281,-4218.007172900421,3511.8880473521954,72117.91979946253,435709.59055083105,52.0
32,51.645140251211174,-4244.1075910356985,3498.314232034254,72056.55461750769,435551.95111245883,52.0
33,51.696672843617925,-4240.1677649773255,3469.7539080198817,71979.51278450436,435376.0119501536,52.0
34,51.75298498282832,-4230.765862409592,3438.3451522203427,71896.38908479287,435180.80751470866,52.0
35,51.81406108543939,-4225.46265839746,3403.759398398974,71807.6832679823,434964.6236157842,52.0
36,51.87988432618596,-4220.743458868787,3366.0852475738043,71713.88748861324,434725.30000421626,52.0
37,51.95043666064056,-4219.291844166969,3325.3899205859852,71615.46843846209,434460.54274986626,52.0
38,52.025698849357305,-4219.509183006661,3281.71535374197,71512.84759438162,434168.1718159641,52.0
39,52.105650483386235,-4222.704679267845,3444.7441051006404,72666.44153818086,435013.14175248786,52.0
40,52.190270011081566,-4308.262952226234,3557.778949864756,73156.35899175,437127.8887863815,52.0
41,52.279534766124215,-4353.569131723893,3701.204050449967,73296.81153608105,437294.923903687,52.0
42,52.37342099667713,-4372.5867702635205,3670.612287469698,73267.88234466517,437217.2846367353,52.0
43,52.47190389558942,-4416.741595410631,3600.298073448573,73224.75359920024,437100.28268692415,52.0
44,52.574957631564125,-4404.399644444637,3612.747971967525,73222.109105711,436990.6225376748,53.0
45,52.682555381203315,-4394.035009795922,3623.539843801696,73211.66868403343,436844.20590022893,53.0
46,52.7946693618432,-4383.612435602795,3632.575776944537,73193.37387081906,436661.00492798694,53.0
47,52.91127086509202,-4375.801663278592,3639.855562116318,73167.18240352633,436441.02171269635,53.0
48,53.03233029098313,-4367.217232956607,3645.130869714416,73133.07558020356,436184.281767381,53.0
49,53.15781718265638,-4359.43431496496,3648.4011476621213,73091.0125249207,435890.83018529345,53.0
50,53.28770026148162,-4352.880537630852,3649.6153239814544,73040.99977016088,435560.72937818064,53.0
51,53.42194746253921,-4346.935526104656,3648.6982095890708,72983.0373248073,435194.0577442548,53.0
52,53.56052597037384,-4338.491591508977,3645.609548323775,72926.56968635847,434790.90887815173,54.0
53,53.703402254939874,-4334.370570896397,3640.3008462948724,72850.04876882742,434351.3910899756,54.0
54,53.850542107658235,-4323.8493529709585,3653.9968708339384,72808.21276968537,436012.05164958205,54.0
55,54.00191067750717,-4305.169505994789,3777.0142787325967,72865.32294360697,437800.1219782975,54.0
56,54.157472507071944,-4300.2194032988455,3761.918553585411,72778.25336073495,436572.70460077166,54.0
57,54.31719156848083,-4298.9493330804835,3738.5768752088006,72646.430291531,435277.69942865556,54.0
