,flood,fraction_formal_in_flood_prone_area,fraction_subsidized_in_flood_prone_area,fraction_informal_in_flood_prone_area,fraction_backyard_in_flood_prone_area,flood_depth_formal,flood_depth_subsidized,flood_depth_informal,flood_depth_backyard
0,C_MERITDEM_1_0000,39.68238409071975,0.0,0.0,0.0,0.5203066604988296,0.0,0.0,0.0
1,C_MERITDEM_1_0002,277.3113362738222,0.31118365395050507,0.0,0.0,0.9585876973945799,0.02581071853637695,0.0,0.0
2,C_MERITDEM_1_0005,472.3387096317598,0.796585672064489,0.0,0.0,1.08828412979753,0.1195620474378185,0.0,0.0
3,C_MERITDEM_1_0010,494.8716795590998,0.796585672064489,0.0,0.0,1.1205387098536743,0.2084940847913342,0.0,0.0
4,C_MERITDEM_1_0025,505.032971327583,0.796585672064489,0.0,0.0,1.2059497694200483,0.3260632929364757,0.0,0.0
5,C_MERITDEM_1_0050,653.2624730310922,0.796585672064489,0.0,0.0,1.151861484064753,0.41500629754463,0.0,0.0
6,C_MERITDEM_1_0100,659.5603123849158,0.796585672064489,0.0,0.0,1.2260879668209754,0.5039543089429455,0.0,0.0
7,C_MERITDEM_1_0250,679.6469889688452,0.796585672064489,0.0,0.0,1.3061471354910736,0.621544497923048,0.0,0.0
