,TZ2013,Area,diss,Zones,BY5Origins,BY5Destina,PTODOrigin,PTODDestin,midrich_jobs,selected_centers
820,2620,721183.507631,0,2620.0,818.037,295.795,1304.33,306.564,71.84571822738033,False
821,2621,844062.288051,0,2621.0,1196.54,54.5807,2262.38,76.7301,15.395511048724355,False
822,2622,330260.11462,0,2622.0,34.115,895.652,109.888,1789.05,184.74613258469225,False
823,2623,521927.14448,0,2623.0,163.995,152.314,799.471,341.022,20.527348064965807,False
824,2624,973936.197232,0,2624.0,674.03,724.871,793.967,355.731,59.0161256867767,False
825,2625,1881863.89715,0,2625.0,1027.18,682.965,4156.06,1672.24,118.0322513735534,False
826,2626,473712.309549,0,2626.0,0.0,48.5987,101.799,41.6352,10.263674032482903,False
827,2627,756235.123968,0,2627.0,1435.42,117.281,1666.62,118.727,32.073981351509076,False
828,2628,1020967.96559,0,2628.0,357.396,6244.24,441.66,5380.69,1222.660169119526,True
829,2629,314828.104167,0,2629.0,1948.96,335.116,1884.6,784.455,43.620614638052345,False
830,2630,3766442.18763,0,2630.0,343.116,134.205,415.436,135.268,28.225103589327983,False
831,2631,281796.664599,0,2631.0,502.994,422.451,772.828,193.446,418.24471682367835,False
832,2701,650259.003484,0,2701.0,112.884,2761.81,163.513,1877.7,368.2093059153242,True
833,2702,931099.514785,0,2702.0,897.78,1415.76,1041.81,1396.02,282.25103589327983,False
834,2703,1082461.19108,0,2703.0,1498.38,20.4985,1785.6,21.5123,5.131837016241452,False
835,2704,1303759.67494,0,2704.0,1107.02,1235.04,1468.51,530.232,98.78786256264794,False
836,2705,1110424.79261,0,2705.0,1682.1,239.309,2077.9,611.592,55.16724792459561,False
837,2706,551935.177101,0,2706.0,0.0,2541.34,0.0,2561.2,355.3797133747205,True
838,2707,1561248.55404,0,2707.0,2506.35,1924.58,3737.8,1324.84,232.2156249849257,True
839,2708,1054740.57321,0,2708.0,1857.7,1631.71,2935.03,807.951,102.63674032482903,True
840,2709,1219764.64447,0,2709.0,5401.59,2128.37,9107.76,1771.87,84.67531076798396,True
841,2710,1529757.35922,0,2710.0,3747.07,616.724,4832.28,699.532,218.10307319026168,False
842,2711,1009410.86076,0,2711.0,1655.11,92.5148,2168.95,98.3613,24.376225827146893,False
843,2712,1814201.05358,0,2712.0,167.532,12098.4,2213.43,12289.2,1596.0013120510916,True
