,area_short,area_medium,area_long,sum,argmax,color
9762,0.0,0.0,0.0,0.0,,tab:grey
9763,0.0,0.0,0.0,0.0,,tab:grey
9764,0.0,0.0,0.0,0.0,,tab:grey
9765,0.0,0.0,0.0,0.0,,tab:grey
9766,0.0,0.0,0.0,0.0,,tab:grey
9767,0.0,0.0,0.0,0.0,,tab:grey
9768,0.0,0.0,0.0,0.0,,tab:grey
9769,0.0,0.0,0.0,0.0,,tab:grey
9770,0.0,0.0,0.0,0.0,,tab:grey
9771,0.0,0.0,0.0,0.0,,tab:grey
9772,0.0,0.0,0.0,0.0,,tab:grey
9773,0.0,0.0,0.0,0.0,,tab:grey
9774,0.0,0.0,0.0,0.0,,tab:grey
9775,0.0,0.0,0.0,0.0,,tab:grey
9776,0.0,0.0,0.0,0.0,,tab:grey
9777,0.0,0.0,0.0,0.0,,tab:grey
9778,0.0,0.0,0.0,0.0,,tab:grey
9779,0.0,0.0,0.0,0.0,,tab:grey
9780,0.0,0.0,0.0,0.0,,tab:grey
9781,0.0,0.0,0.0,0.0,,tab:grey
9782,0.0,0.0,0.0,0.0,,tab:grey
9783,0.0,0.0,0.0,0.0,,tab:grey
9784,0.0,0.0,0.0,0.0,,tab:grey
9785,0.0,0.0,199185.961700439,199185.961700439,2.0,tab:green
9786,0.0,0.0,250000.0,250000.0,2.0,tab:green
9787,0.0,0.0,250000.0,250000.0,2.0,tab:green
9788,0.0,0.0,249999.999984741,249999.999984741,2.0,tab:green
9789,0.0,0.0,250000.000015259,250000.000015259,2.0,tab:green
9790,0.0,0.0,250000.0,250000.0,2.0,tab:green
9791,0.0,0.0,110365.340583801,110365.340583801,2.0,tab:green
9792,0.0,0.0,0.0,0.0,,tab:grey
9793,0.0,0.0,0.0,0.0,,tab:grey
9794,0.0,0.0,0.0,0.0,,tab:grey
9795,0.0,0.0,0.0,0.0,,tab:grey
9796,0.0,0.0,0.0,0.0,,tab:grey
9797,0.0,0.0,0.0,0.0,,tab:grey
9798,0.0,0.0,0.0,0.0,,tab:grey
9799,0.0,0.0,0.0,0.0,,tab:grey
9800,0.0,0.0,0.0,0.0,,tab:grey
9801,0.0,0.0,0.0,0.0,,tab:grey
9802,0.0,0.0,0.0,0.0,,tab:grey
9803,0.0,0.0,0.0,0.0,,tab:grey
9804,0.0,0.0,0.0,0.0,,tab:grey
9805,0.0,0.0,0.0,0.0,,tab:grey
9806,0.0,0.0,0.0,0.0,,tab:grey
9807,0.0,0.0,0.0,0.0,,tab:grey
9808,0.0,0.0,0.0,0.0,,tab:grey
9809,0.0,0.0,0.0,0.0,,tab:grey
9810,0.0,0.0,0.0,0.0,,tab:grey
9811,0.0,0.0,0.0,0.0,,tab:grey
9812,0.0,0.0,0.0,0.0,,tab:grey
9813,0.0,0.0,0.0,0.0,,tab:grey
9814,0.0,0.0,0.0,0.0,,tab:grey
9815,0.0,0.0,0.0,0.0,,tab:grey
9816,0.0,0.0,0.0,0.0,,tab:grey
9817,0.0,0.0,0.0,0.0,,tab:grey
9818,0.0,0.0,0.0,0.0,,tab:grey
9819,0.0,0.0,0.0,0.0,,tab:grey
9820,0.0,0.0,0.0,0.0,,tab:grey
9821,0.0,0.0,0.0,0.0,,tab:grey
9822,0.0,0.0,0.0,0.0,,tab:grey
9823,0.0,0.0,0.0,0.0,,tab:grey
9824,0.0,0.0,0.0,0.0,,tab:grey
9825,0.0,0.0,0.0,0.0,,tab:grey
9826,0.0,0.0,0.0,0.0,,tab:grey
9827,0.0,0.0,0.0,0.0,,tab:grey
9828,0.0,0.0,0.0,0.0,,tab:grey
9829,0.0,0.0,0.0,0.0,,tab:grey
9830,0.0,0.0,0.0,0.0,,tab:grey
9831,0.0,0.0,0.0,0.0,,tab:grey
9832,0.0,0.0,0.0,0.0,,tab:grey
9833,0.0,0.0,0.0,0.0,,tab:grey
9834,0.0,0.0,0.0,0.0,,tab:grey
9835,0.0,0.0,0.0,0.0,,tab:grey
9836,0.0,0.0,0.0,0.0,,tab:grey
9837,0.0,0.0,0.0,0.0,,tab:grey
9838,0.0,0.0,0.0,0.0,,tab:grey
9839,0.0,0.0,0.0,0.0,,tab:grey
9840,0.0,0.0,0.0,0.0,,tab:grey
9841,0.0,0.0,0.0,0.0,,tab:grey
9842,0.0,0.0,0.0,0.0,,tab:grey
9843,0.0,0.0,0.0,0.0,,tab:grey
9844,0.0,0.0,0.0,0.0,,tab:grey
9845,0.0,0.0,0.0,0.0,,tab:grey
9846,0.0,0.0,0.0,0.0,,tab:grey
9847,0.0,0.0,0.0,0.0,,tab:grey
9848,0.0,0.0,0.0,0.0,,tab:grey
9849,0.0,0.0,0.0,0.0,,tab:grey
9850,0.0,0.0,0.0,0.0,,tab:grey
9851,0.0,0.0,0.0,0.0,,tab:grey
9852,0.0,0.0,0.0,0.0,,tab:grey
9853,0.0,0.0,0.0,0.0,,tab:grey
9854,0.0,0.0,0.0,0.0,,tab:grey
9855,0.0,0.0,0.0,0.0,,tab:grey
9856,0.0,0.0,0.0,0.0,,tab:grey
9857,0.0,0.0,0.0,0.0,,tab:grey
9858,0.0,0.0,0.0,0.0,,tab:grey
9859,0.0,0.0,0.0,0.0,,tab:grey
9860,0.0,0.0,0.0,0.0,,tab:grey
9861,0.0,0.0,0.0,0.0,,tab:grey
9862,0.0,0.0,0.0,0.0,,tab:grey
9863,0.0,0.0,0.0,0.0,,tab:grey
9864,0.0,0.0,0.0,0.0,,tab:grey
9865,0.0,0.0,0.0,0.0,,tab:grey
9866,0.0,0.0,0.0,0.0,,tab:grey
9867,0.0,0.0,0.0,0.0,,tab:grey
