,flood_depth
0,0.00786112624082193
1,0.0357855573180501
2,0.0
3,0.0
4,0.343554050660823
5,0.000489863352379231
6,0.0204488582868464
7,0.00489605688420631
8,0.072288185460461
9,0.00980860326876473
10,0.0
11,0.0
12,0.0995878820066099
13,0.0
14,0.0
15,0.0
16,0.0240152542418288
17,0.00011609759887037
18,0.224931338965069
19,0.211440786744911
20,0.420859164521928
21,0.412327695248732
22,0.640721486831783
23,0.403739493045955
24,0.214983187651885
25,0.257903290455857
26,0.189215244391026
27,0.116247538418289
28,0.00252888997395833
29,0.0
30,0.0
31,0.0
32,0.00258302348486537
33,0.0257501909809728
34,0.0372506424132364
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0163561434241638
40,0.00851104091901396
41,0.286922609160768
42,0.0661649972388691
43,0.168768219254975
44,0.381284802048295
45,0.0802893309851318
46,0.0204397121950877
47,0.00243067131454528
48,0.13981902856621
49,0.0545681527541244
50,0.0808006046153071
51,0.050028720992807
52,0.0
53,0.0301486513787561
54,0.0
55,0.0
56,0.103355627420728
57,0.0500103809215404
58,0.00161977914663462
59,0.0
60,0.0069755706352386
61,0.0313587434021328
62,0.0594066891183992
63,0.0
64,0.0
65,0.0
66,0.0
67,0.00245788348740764
68,0.000634723239474826
69,0.193470099033454
70,0.105734992910314
71,0.0185516270477208
72,0.000885027294389001
73,0.0
74,0.0
75,0.303637360575532
76,0.217481368908779
77,0.0
78,0.148768788850386
79,0.0
80,0.0100169998716073
81,1.08912081630142
82,0.614758409462084
83,0.0582118917394567
84,0.00250731030760328
85,0.124846617380778
86,0.0325703764912749
87,0.16392297491996
88,0.342208775409533
89,0.0507366670330538
90,0.00365282596434501
91,0.0939010825196709
92,0.0230896708669082
93,0.0
94,0.00723781409087005
95,0.00386034321581197
96,0.0
97,0.0
98,0.00857671101888021
99,0.00235741770165598
100,0.0
101,0.0147982431612803
102,0.125571957340947
103,0.00130192683293269
104,0.00210173233695652
105,0.0356518484329971
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0352471941217058
111,0.0954585707986916
112,0.0543075241408982
113,0.234945222701149
114,0.374233234981526
115,0.0
116,0.00511638934795673
117,0.0
118,0.0913445200631529
119,1.28315877017812
120,0.626296595290855
121,0.0193569868038862
122,0.0
123,0.0
124,0.0
125,0.0
126,0.00123557779524061
127,0.00600422916249332
128,0.0044609440697564
129,0.00481284377921341
130,0.00190354158461043
131,0.0616922765498539
132,0.155062509737803
133,0.118882965158533
134,0.0
135,0.0290709513205069
136,0.220866933099904
137,0.0865969172230473
138,0.0916006495809963
139,0.042960732071488
140,0.0219193243912482
141,0.0
142,0.0
143,0.00473263966951439
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0181553275496871
149,0.0881018135961984
150,0.117183614660192
151,0.133420904001959
152,0.000489208555441298
153,0.0626729212970002
154,0.00202924996043792
155,0.0
156,0.206461418829975
157,0.0230605356662482
158,0.019786128452846
159,0.0296097580043749
160,0.061850296823602
161,0.0308722875736378
162,0.0
163,0.0236992367430229
164,0.100554202696537
165,0.0
166,0.0
167,0.0
168,0.00935228310636365
169,0.121055043610969
170,0.723252785342863
171,0.350531397580146
172,0.0080897997361126
173,0.0557726851621222
174,0.0218046352219851
175,0.0675253099707833
176,0.0364015367296007
177,0.0584911118205796
178,0.260883171480538
179,0.160974994137026
180,0.163036205801546
181,0.146760094418277
182,0.0606612811004238
183,0.0
184,0.0
185,0.0
186,0.00206105912817894
187,0.0
188,0.0
189,0.0
190,0.000203375701688472
191,0.152816648836489
192,0.278432988441228
193,0.112526118085239
194,0.083320931687194
195,0.114263715806994
196,0.416780507396837
197,0.0441185797783742
198,0.0481576398377425
199,0.0014869711677573
200,0.0486589802636041
