,structure_subsidized_1
0,1.0220160985974968e-05
1,0.00020280195618253675
2,0.0
3,0.0
4,0.00241142631874256
5,1.3268105282688455e-07
6,4.307155396799527e-05
7,2.7534057340308375e-05
8,0.000713883343545481
9,1.3483580854462185e-05
10,0.0
11,1.948479368420855e-09
12,0.000711848620395166
13,0.0
14,0.0
15,6.518396254995637e-08
16,6.916907272809842e-05
17,1.0437675552897845e-09
18,0.0013043189486417188
19,0.0005933061147291391
20,0.004649927803132578
21,0.005298023597990213
22,0.007609091501268389
23,0.006595225761944214
24,0.0016172771320656317
25,0.0013232133297915564
26,0.0014190562746561545
27,0.0009181129565998124
28,1.5180165817539784e-06
29,0.0
30,0.0
31,0.0
32,6.253629522580112e-07
33,8.614807835372355e-05
34,0.00010186984917903198
35,0.0
36,0.0
37,0.0
38,0.0
39,3.685457126326848e-05
40,4.903037745731671e-06
41,0.003111639307456446
42,0.00033111645727826664
43,0.002412091351135286
44,0.005980752136411937
45,0.000969076956980499
46,5.2441625758641594e-05
47,1.0953272935064841e-06
48,0.0016137980574702007
49,0.00035753850972426883
50,0.0004412256669987883
51,0.00035579711461478276
52,7.699981409181334e-08
53,0.0001434729796997059
54,0.0
55,0.0
56,0.000515784798473068
57,0.0002568992917407277
58,1.025092527819229e-06
59,1.2988100449244156e-09
60,8.538399106344787e-06
61,6.439220343154754e-05
62,0.0004439726096554831
63,0.0
64,0.0
65,0.0
66,0.0
67,9.799220909336535e-07
68,3.5719248493021976e-08
69,0.0008599088885184808
70,0.00033545003503295255
71,3.874732473568185e-05
72,1.695363327253853e-07
73,0.0
74,0.0
75,0.0008938080290716345
76,0.0006752353802498565
77,0.0
78,0.0009050210096399312
79,0.0
80,5.581287416224683e-07
81,0.007625062160883497
82,0.005481025167660249
83,0.0003515335564192677
84,9.957756629769819e-07
85,0.0005937486067278022
86,4.765828436897026e-05
87,0.0019106935171933868
88,0.017279571080062766
89,0.00029675794236199885
90,1.3499195472431233e-06
91,0.000798410060014496
92,7.999804409663105e-05
93,0.0
94,5.22774001468479e-06
95,2.024410903180156e-06
96,0.0
97,0.0
98,8.987330758767848e-06
99,1.6132637956723154e-06
100,0.0
101,9.657335643460903e-06
102,0.0012903423709516712
103,2.815333486569973e-07
104,2.5404240606152827e-07
105,0.00011572289399356428
106,0.0
107,0.0
108,2.525971040844829e-08
109,5.928640564282748e-08
110,0.00015815614995855977
111,0.0007100556258495265
112,0.00011734923057836587
113,0.0016224719928662654
114,0.003170792693929552
115,0.0
116,1.5945605933049361e-06
117,0.0
118,0.00861523459742421
119,0.11396163652696112
120,0.03513671071588909
121,9.464332247094393e-05
122,0.0
123,0.0
124,9.821189391146974e-09
125,0.0
126,1.6279197570488383e-06
127,6.6864435936196225e-06
128,3.0631661433411466e-06
129,3.1006045823008165e-06
130,8.373095090112483e-07
131,0.0003946202767349551
132,0.0009891810863690963
133,0.0004852927007287004
134,0.0
135,3.116437790755254e-05
136,0.0037612831021439086
137,0.0012088266594823677
138,0.0013369215416670886
139,0.00033446596621383734
140,6.566415783954615e-05
141,1.2042469345033178e-07
142,3.4250848365932484e-09
143,3.5341891767330262e-06
144,0.0
145,0.0
146,0.0
147,0.0
148,4.8368118656931254e-05
149,0.0011452815062876777
150,0.0022141532450546454
151,0.001922614738852222
152,2.1082517842804876e-08
153,0.0005234329052862035
154,1.0810635690484238e-06
155,0.0
156,0.0012246014970516178
157,6.209287716066785e-05
158,4.444295552637217e-05
159,9.58444576951331e-05
160,0.0004896786685966259
161,0.00011936026987682295
162,3.0227572808208828e-09
163,7.153048121271242e-05
164,0.0009077907859987021
165,0.0
166,0.0
167,4.964628715674613e-06
168,8.344114801265035e-06
169,0.00043722439620731446
170,0.00704639826430751
171,0.0024188083000712055
172,8.404477737634998e-06
173,0.00028838970949979383
174,5.083786971577958e-05
175,0.00030817588951028655
176,0.00017705139331093765
177,0.00010612492894094099
178,0.002574857245640278
179,0.0010489738994096016
180,0.0011207565953612777
181,0.0012384582829680483
182,0.00040066663514444863
183,0.0
184,0.0
185,0.0
186,2.463470447773481e-07
187,0.0
188,0.0
189,0.0
190,3.2169187750950725e-09
191,0.0012456659013112598
192,0.00397613413115344
193,0.000932402989874542
194,0.0013700691597767064
195,0.0019526667335671955
196,0.006653590896232989
197,0.0002670572822677204
198,0.00022229248234097187
199,6.405307638708167e-06
200,0.00027867527300330956
201,0.0013216929988261834
202,0.002079943116584222
203,0.0011689028389273374
204,0.0
205,4.01452890080299e-05
206,3.64805898522776e-08
207,0.0
208,0.0006168412915578789
209,5.486143636455386e-05
210,6.316562533946879e-07
211,0.0
212,0.0
213,0.0
214,0.0002947734616839027
215,5.697907940333408e-07
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,9.215809702867204e-07
222,0.0030526478599571575
223,3.0891399438077077e-06
224,0.0
225,0.0
226,0.0
227,5.290009704679505e-07
228,0.0021257638459787585
229,7.8980809616567e-07
230,0.004661351521852186
231,0.0012336132393760925
232,0.005703211555538299
233,0.015639877825854603
234,0.0
235,1.3943574655812575e-08
236,0.0
237,0.0011114867853079945
238,9.186136255785843e-07
239,0.0008057388758073993
240,7.587205934554082e-06
241,0.01660774436960784
242,0.0
243,2.7913974881662737e-08
244,2.491000213650712e-05
245,0.0
246,0.00028778037888729595
247,0.00019878587736395142
248,2.3819036468505092e-05
249,8.399129582026557e-07
250,8.436388186139497e-07
251,5.711004087229667e-07
252,0.0
253,0.001232365832881942
254,0.00040982452576059276
255,2.0359939208219453e-05
256,0.0006491489217701875
257,1.2354059792597547e-05
258,0.0
259,0.0
260,0.0
261,8.717765539605259e-07
262,2.534692075980181e-05
263,0.0
264,7.653104001351898e-05
265,0.000548374255190791
266,0.005163407182088694
267,0.0004959918366435101
268,2.1473595644769543e-06
269,0.04740133986055665
270,0.03181098331371881
271,0.05209955034206872
272,0.27939991726828955
273,0.09985776116412577
274,0.0
275,0.0
276,0.0
277,4.8518249141977e-05
278,0.00011003006971883658
279,0.00024581745664866523
280,0.0
281,0.0
282,0.00016284831625830413
283,0.0001101616857001224
284,0.00021114165986316823
285,0.002564281185634332
286,3.5287239892507046e-05
287,2.165485380424395e-08
288,0.001649990203953497
289,0.0008039037593569016
290,0.001313089003105238
291,0.00014813602910028324
292,0.00025785880129528053
293,0.00013538713040087128
294,7.0985815069721665e-06
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,7.537999992615411e-06
301,0.00011243920442698817
302,1.7604577697925897e-05
303,1.7195367050719017e-07
304,2.4586189122130752e-09
305,0.00045179010698542945
306,4.0646054555108024e-07
307,0.0
308,0.001253796289211761
309,1.1715677452824687e-05
