,structure_subsidized_2
0,6.593652249016108e-06
1,0.00013083997173066888
2,0.0
3,0.0
4,0.0015557589153177807
5,8.560067924315134e-08
6,2.7788099334190496e-05
7,1.7763907961489274e-05
8,0.0004605698990616007
9,8.699084422233667e-06
10,0.0
11,1.257083463497326e-09
12,0.0004592571744484941
13,0.0
14,0.0
15,4.205416938706864e-08
16,4.4625208211676396e-05
17,6.73398422767603e-10
18,0.000841496095897883
19,0.00038277813853492866
20,0.0030004564909990694
21,0.0034182496796143938
22,0.004933571012518174
23,0.004254984362544655
24,0.0010434046013326657
25,0.000853686019220359
26,0.0009155201771975191
27,0.0005923309397418145
28,9.793655366154703e-07
29,0.0
30,0.0
31,0.0
32,4.034599691987168e-07
33,5.557940538949906e-05
34,6.572248334131096e-05
35,0.0
36,0.0
37,0.0
38,0.0
39,2.377714275049579e-05
40,3.1632501585365624e-06
41,0.0020075092306170617
42,0.00021362352082468817
43,0.001556187968474378
44,0.003858549765427056
45,0.0006252109399874186
46,3.38333069410591e-05
47,7.066627700041834e-07
48,0.001041160037077549
49,0.00023067000627372184
50,0.00028466172064437953
51,0.00022954652555792437
52,4.9677299414073136e-08
53,9.256321270948767e-05
54,0.0
55,0.0
56,0.0003327643861116567
57,0.000165741478542405
58,6.613500179478896e-07
59,8.37941964467365e-10
60,5.508644584738572e-06
61,4.1543357052611326e-05
62,0.0002864339417132149
63,0.0
64,0.0
65,0.0
66,0.0
67,6.322078006023571e-07
68,2.3044676447110955e-08
69,0.0005547799280764393
70,0.00021641937744061455
71,2.4998274023020553e-05
72,1.0937827917766795e-07
73,0.0
74,0.0
75,0.0005766503413365382
76,0.00043563572919345586
77,0.0
78,0.0005838845223483426
79,0.0
80,3.600830591112698e-07
81,0.0052906045503950585
82,0.003680449083454892
83,0.00022679584285114054
84,6.424359115980528e-07
85,0.00038306361724374337
86,3.074728023804533e-05
87,0.0012327054949634753
88,0.011148316681406548
89,0.00019244876522766095
90,8.709158369310471e-07
91,0.0005151032645254813
92,5.16116413526652e-05
93,0.0
94,3.3727354933450264e-06
95,1.3060715504388103e-06
96,0.0
97,0.0
98,5.798277908882483e-06
99,1.0408153520466553e-06
100,0.0
101,6.230539124813487e-06
102,0.0008324789490010782
103,1.8163441848838544e-07
104,1.6389832649130856e-07
105,7.465993160875115e-05
106,0.0
107,0.0
108,1.629658736028922e-08
109,3.82492939631145e-08
110,0.00010203622577971598
111,0.00045810040377388815
112,7.570918101830057e-05
113,0.0010467561244298488
114,0.002045672705761002
115,0.0
116,1.0287487698741526e-06
117,0.0
118,0.005769337218588056
119,0.07550821013912645
120,0.023109455687850604
121,6.10602080457703e-05
122,0.0
123,0.0
124,6.336251220094821e-09
125,0.0
126,1.0502708109992508e-06
127,4.3138345765287884e-06
128,1.976236221510417e-06
129,2.0003900530973014e-06
130,5.401996832330635e-07
131,0.0002545937269257775
132,0.0006381813460445782
133,0.00031309206498625835
134,0.0
135,2.0106050262937127e-05
136,0.002426634259447683
137,0.000779888167407979
138,0.0008625300268819927
139,0.00021578449433150794
140,4.2363972799707204e-05
141,7.769335061311729e-08
142,2.2097321526408058e-09
143,2.280122049505178e-06
144,0.0
145,0.0
146,0.0
147,0.0
148,3.120523784318146e-05
149,0.000738891294379147
150,0.0014284859645513842
151,0.0012403966057111114
152,1.3601624414712826e-08
153,0.0003376986485717442
154,6.974603671280154e-07
155,0.0
156,0.0007900654819687857
157,4.005992074881797e-05
158,2.867287453314334e-05
159,6.183513399686007e-05
160,0.00031592172167524255
161,7.700662572698256e-05
162,1.950165987626376e-09
163,4.614869755658867e-05
164,0.0005856714748378724
165,0.0
166,0.0
167,3.2029862681771707e-06
168,5.383299871783894e-06
169,0.00028208025561762227
170,0.004576409836649537
171,0.001560521483916907
172,5.4222437016999994e-06
173,0.00018605787709664116
174,3.27986256230836e-05
175,0.0001988231545227655
176,0.00011422670536189529
177,6.846769609092968e-05
178,0.0016611982229937277
179,0.0006767573544578075
180,0.0007230687712008244
181,0.000799005343850354
182,0.0002584946033189991
183,0.0
184,0.0
185,0.0
186,1.5893357727570844e-07
187,0.0
188,0.0
189,0.0
190,2.0754314678032724e-09
191,0.0008036554202008127
192,0.002565247826550607
193,0.0006015503160480916
194,0.000883915586952714
195,0.0012597849893981907
196,0.004293307142017547
197,0.00017229502081788414
198,0.00014341450473611092
199,4.132456541102043e-06
