,TZ2013,Area,diss,Zones,BY5Origins,BY5Destina,PTODOrigin,PTODDestin,jobs_total,selected_centers
178,3072,199914.428922,0,3072.0,588.538,0.570419,831.717,1.49884,0.2638680622188261,False
179,3073,186901.291853,0,3073.0,170.563,2.49236,302.297,2.95694,2.3495158799069484,False
180,3074,233332.961088,0,3074.0,291.844,31.4772,460.137,32.5913,25.900191218988493,False
181,3423,173493.609458,0,3423.0,350.367,17.3733,485.604,17.9038,15.977524660388658,False
182,3425,238507.264632,0,3425.0,3338.68,0.0,3505.31,0.0,0.0,False
183,3426,130619.478344,0,3426.0,614.097,0.0,634.616,0.0,0.0,False
184,3427,186561.789255,0,3427.0,1155.22,0.0,854.983,281.133,0.0,False
185,3428,119454.501439,0,3428.0,1073.21,0.0,794.307,261.192,0.0,False
186,3429,189880.680097,0,3429.0,2478.02,460.708,2695.46,1279.15,354.99090410153514,False
187,3430,210860.400925,0,3430.0,2303.54,2.5931,2308.4,675.356,2.3495158799069484,False
188,3431,206522.789829,0,3431.0,1129.24,0.0,1185.9,588.521,0.0,False
189,3432,196626.974188,0,3432.0,1567.37,12.6164,1981.92,825.828,9.394930434162184,False
190,3433,212605.320192,0,3433.0,951.821,729.911,1541.15,297.425,337.8597988200735,False
191,3434,199172.155839,0,3434.0,511.198,845.885,913.866,546.758,366.0193932569989,False
192,5931,663674.107977,0,5931.0,1461.84,642.625,1666.65,633.459,465.20222409190853,False
193,5932,612573.078911,0,5932.0,681.653,593.334,810.949,517.204,615.2841410577544,False
194,5933,146019.118399,0,5933.0,171.101,662.304,196.833,656.247,401.71670409559573,False
195,5934,228068.891391,0,5934.0,283.789,137.679,342.636,134.457,123.45954826732262,False
196,5935,364339.966467,0,5935.0,344.647,31.9621,421.225,32.1779,27.959051705696677,False
197,5936,257587.113369,0,5936.0,465.582,102.741,597.16,102.982,90.35732357028114,False
198,5937,200664.458196,0,5937.0,809.959,157.637,840.952,318.818,227.34569460787452,False
199,5938,184439.742698,0,5938.0,273.659,669.845,323.048,663.225,476.71456482375527,False
200,5939,288559.459459,0,5939.0,547.591,47.9436,591.443,47.2117,35.36003744955957,False
201,5940,170773.454653,0,5940.0,239.778,29.7443,289.645,29.9027,26.02514747729117,False
202,5941,209454.32886,0,5941.0,374.639,78.2971,427.59,82.6477,73.58857642802388,False
203,5942,179800.824844,0,5942.0,954.32,41.8446,1050.93,42.0685,30.80464104454623,False
204,5943,262599.200356,0,5943.0,612.64,1358.4,746.762,352.78,1099.041731789577,False
205,5944,211511.024528,0,5944.0,582.116,112.369,716.235,113.761,77.52024851852406,False
206,5945,253132.561059,0,5945.0,1486.77,13.7361,1682.78,13.7811,12.011547276254909,False
207,1406,293013.260983,0,1406.0,692.948,183.698,916.402,301.991,252.1017550758428,False
208,1407,221857.181008,0,1407.0,88.6928,102.965,168.343,139.873,72.15133593038941,False
209,1408,383592.792438,0,1408.0,332.565,1939.52,528.961,965.791,1601.8716987488485,True
210,1409,470253.951619,0,1409.0,181.357,703.226,767.673,293.986,426.98788573539366,False
211,1410,201310.100288,0,1410.0,248.836,2577.85,292.945,2957.81,1412.2955624800434,True
212,1411,325677.486579,0,1411.0,640.243,651.576,883.024,195.633,399.0842659041949,False
213,1412,216519.178844,0,1412.0,587.191,103.428,715.167,104.688,87.47360576600263,False
214,1413,239434.806897,0,1413.0,679.579,73.6157,797.286,157.356,53.94442828301074,False
215,1414,233838.939046,0,1414.0,456.527,271.767,615.56,93.0582,112.97527226906467,False
216,1415,390084.998299,0,1415.0,759.652,727.006,1184.54,433.779,712.0821581769272,False
217,1416,195687.907993,0,1416.0,219.725,9.61784,480.945,17.5082,10.341511110068229,False
218,1417,326533.125863,0,1417.0,578.306,400.64,959.749,172.607,231.0995149080416,False
219,1418,276933.209304,0,1418.0,499.922,71.2361,818.336,78.7317,61.023147937309176,False
220,1419,225422.073119,0,1419.0,308.852,16.7247,603.993,25.1358,13.65479611146165,False
221,1420,242055.127208,0,1420.0,246.833,639.438,299.383,200.263,656.4119241335183,False
222,1421,203539.246288,0,1421.0,118.464,20.7093,262.616,84.8382,18.33027344026256,False
223,1422,165223.047332,0,1422.0,225.605,21.4367,472.204,26.4881,16.502027884859356,False
224,1423,124697.882824,0,1423.0,135.662,6.5265,218.447,7.04362,4.550521070498233,False
225,1424,318639.516537,0,1424.0,771.506,202.387,981.156,205.003,171.9873366113702,False
226,1425,176887.63834,0,1425.0,613.171,140.224,810.975,141.641,118.49926285645434,False
227,1426,196154.902555,0,1426.0,164.165,297.602,215.981,210.393,259.03916503336114,False
228,1427,244641.83521,0,1427.0,546.579,344.89,771.567,306.46,289.0577036658285,False
229,1428,229276.788683,0,1428.0,388.984,525.643,566.543,266.349,371.3159129741831,False
230,1429,261221.869576,0,1429.0,642.916,23.4169,788.858,47.3431,19.17868518884587,False
231,1430,311710.267715,0,1430.0,1117.51,54.1524,1442.56,58.0048,40.4366522099473,False
232,1431,182984.49374,0,1431.0,134.183,2825.85,157.966,2841.34,1538.4481229010905,True
233,1432,114116.27842,0,1432.0,0.0,1240.71,1.52391,1249.49,691.1139879384062,False
234,1433,273219.730139,0,1433.0,634.333,151.407,905.846,154.7,127.49300388990035,False
235,4314,1357215.16584,0,4314.0,0.0,0.0,0.0,0.0,0.0,False
236,4315,1132408.95615,0,4315.0,0.0,0.0,0.0,0.0,0.0,False
237,4316,1134920.52454,0,4316.0,0.0,0.0,0.0,0.0,0.0,False
238,4317,1305863.25855,0,4317.0,0.0,0.09559,0.0,0.097047,0.0,False
239,4318,1194963.16728,0,4318.0,0.0,0.0,0.0,0.0,0.0,False
240,4319,1027616.2893,0,4319.0,0.0,2.92085,1339.93,453.838,2.6434041730726663,False
241,4320,930308.606174,0,4320.0,0.0,1.91474,5113.83,836.075,0.8216244176033701,False
242,4321,1094538.94672,0,4321.0,229.097,3.3218,265.886,3.34844,3.20116052845721,False
243,4322,1374948.21913,0,4322.0,0.0,22.4846,0.0,22.6524,12.829938793891328,False
244,4323,789881.101871,0,4323.0,0.0,0.0,0.0,0.0,0.0,False
245,4324,1066867.16947,0,4324.0,0.0,0.0,0.0,0.0,0.0,False
246,4325,929705.410145,0,4325.0,0.0,0.0,0.0,0.0,0.0,False
247,4326,724564.356334,0,4326.0,0.0,0.0,2746.86,543.266,0.0,False
248,4327,821191.112613,0,4327.0,0.0,0.0,2305.97,504.598,0.0,False
249,4328,926068.478652,0,4328.0,79.637,0.0,395.542,0.0,0.0,False
250,4329,755906.67061,0,4329.0,0.0,0.0,1257.99,260.885,0.0,False
251,4330,826003.055261,0,4330.0,0.0,0.0,0.0,0.0,0.0,False
252,4331,898695.552643,0,4331.0,0.0,0.0,0.0,0.0,0.0,False
253,4332,1390071.68103,0,4332.0,0.0,0.0,0.0,0.0,0.0,False
254,4333,799797.954858,0,4333.0,0.0,0.0,0.0,0.0,0.0,False
255,4334,823013.972218,0,4334.0,0.0,0.0,0.0,0.0,0.0,False
