,contents_formal
0,9.890478373524158e-06
1,0.0001962599575960033
2,0.0
3,0.0
4,0.002055662423237161
5,1.28401018864727e-07
6,4.168214900128574e-05
7,2.664586194223391e-05
8,0.000690854848592401
9,1.30486266333505e-05
10,0.0
11,1.8856251952459882e-09
12,0.0006834892555284324
13,0.0
14,0.0
15,6.308125408060294e-08
16,6.693781231751459e-05
17,1.0100976341514045e-09
18,0.0011267489051144954
19,0.0005095321030469865
20,0.003930411568417977
21,0.004459035686699476
22,0.007468995388225485
23,0.005525422380575259
24,0.0013891486297264311
25,0.0011124785671753478
26,0.0012558149002019096
27,0.0008738191896537015
28,1.469048304923205e-06
29,0.0
30,0.0
31,0.0
32,6.051899537980752e-07
33,8.336910808424859e-05
34,9.858372501196644e-05
35,0.0
36,0.0
37,0.0
38,0.0
39,3.5665714125743686e-05
40,4.744875237804842e-06
41,0.0025901294308107105
42,0.0003204352812370322
43,0.002202128843451054
44,0.004992477171935084
45,0.0009364049750303365
46,5.074996041158865e-05
47,1.059994155006275e-06
48,0.001505565627195667
49,0.00034600500941058275
50,0.0004226899154192924
51,0.00034431978833688654
52,7.451594912110969e-08
53,0.00013884481906423148
54,0.0
55,0.0
56,0.0004962725846652216
57,0.0002486122178136075
58,9.920250269218344e-07
59,1.2569129467010472e-09
60,8.262966877107857e-06
61,6.231503557891698e-05
62,0.0004296509125698223
63,0.0
64,0.0
65,0.0
66,0.0
67,9.483117009035357e-07
68,3.456701467066643e-08
69,0.0007558581883167634
70,0.000321489081780882
71,3.7497411034530824e-05
72,1.640674187665019e-07
73,0.0
74,0.0
75,0.0007588589795589955
76,0.0005848024255584652
77,0.0
78,0.0008408147497532979
79,0.0
80,5.401245886669047e-07
81,0.011149981433753814
82,0.0070664187897785755
83,0.0003401937642767108
84,9.636538673970791e-07
85,0.0005636218562995605
86,4.6120920357068e-05
87,0.0017440800899800747
88,0.0143047820388362
89,0.000294075534013714
90,1.3063737553965707e-06
91,0.0007710460627862659
92,7.741746202899779e-05
93,0.0
94,5.059103240017539e-06
95,1.9591073256582155e-06
96,0.0
97,0.0
98,8.697416863323725e-06
99,1.5612230280699822e-06
100,0.0
101,9.345808687220229e-06
102,0.0012227170419137007
103,2.7245162773257816e-07
104,2.4584748973696286e-07
105,0.00011198989741312672
106,0.0
107,0.0
108,2.4444881040433826e-08
109,5.7373940944671754e-08
110,0.00015305433866957395
111,0.0006849512100753033
112,0.00011356377152745084
113,0.0013833765020525453
114,0.00263759774941208
115,0.0
116,1.5431231548112285e-06
117,0.0
118,0.010953990207316834
119,0.12618539286944452
120,0.03768285606047759
121,8.78311859651537e-05
122,0.0
123,0.0
124,9.504376830142231e-09
125,0.0
126,1.5754062164988758e-06
127,6.470751864793183e-06
128,2.9643543322656256e-06
129,3.000585079645951e-06
130,8.102995248495952e-07
131,0.00038189059038866614
132,0.0009062873476334837
133,0.0004604838566912084
134,0.0
135,3.0159075394405685e-05
136,0.0032026629720780736
137,0.0011674860734660671
138,0.0012893600158525127
139,0.0003236767414972618
140,6.354595919956079e-05
141,1.1654002591967592e-07
142,3.3145982289612087e-09
143,3.420183074257767e-06
144,0.0
145,0.0
146,0.0
147,0.0
148,4.680785676477218e-05
149,0.0011033154204384197
150,0.0021137452249173766
151,0.0018026256686044875
152,2.0402436622069235e-08
153,0.0005065479728576163
154,1.046190550692023e-06
155,0.0
156,0.0010712972310902766
157,6.008988112322695e-05
158,4.3009311799715e-05
159,9.275270099529009e-05
160,0.0004738825825128638
161,0.00011550993859047382
162,2.9252489814395635e-09
163,6.922304633488299e-05
164,0.0008721056637958083
165,0.0
166,0.0
167,4.804479402265756e-06
168,8.07494980767584e-06
169,0.00040614419662400835
170,0.00707297611865132
171,0.002008045388186137
172,8.133365552549998e-06
173,0.00027908681564496173
174,4.919793843462539e-05
175,0.00029823473178414823
176,0.0001713400580428429
177,0.0001027015441363945
178,0.0021639218817118603
179,0.0009494864155994534
180,0.0010093337040064571
181,0.0011418332156095533
182,0.0003877419049784986
183,0.0
184,0.0
185,0.0
186,2.3840036591356264e-07
187,0.0
188,0.0
189,0.0
190,3.1131472017049083e-09
191,0.0011432616532814697
192,0.0033183661718999623
193,0.00088424486221523
194,0.0013254815817973404
195,0.0018655305144770226
196,0.005612570440560453
197,0.00025844253122682615
198,0.00021512175710416634
199,6.1986848116530655e-06
200,0.0002696857480677189
201,0.0012431518089858029
202,0.0017588151393763774
203,0.0010980119108154713
204,0.0
205,3.885027968519022e-05
206,3.5303796631236386e-08
207,0.0
208,0.000592616093323007
209,5.3091712610858564e-05
210,6.112802452206656e-07
211,0.0
212,0.0
213,0.0
214,0.0002852646403392607
215,5.514104458387168e-07
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,8.918525518903746e-07
222,0.0025655984765593307
223,2.9894902682010075e-06
224,0.0
225,0.0
226,0.0
227,5.119364230335004e-07
228,0.0017822306076933443
229,6.960364773742147e-07
230,0.004525155635825501
231,0.0011280366916059043
232,0.008451462956346951
233,0.02337288316634301
234,0.0
235,1.3493781924979913e-08
236,0.0
237,0.0010072451129923613
238,8.889809279792752e-07
239,0.0007451868804911348
240,1.1855504354088847e-05
241,0.013895608032262757
242,0.0
243,2.7013524079028452e-08
244,2.4106453680490754e-05
245,0.0
246,0.0002784971408586735
247,0.00019237342970704978
248,2.3050680453392025e-05
249,8.128189918090214e-07
250,8.1642466317479e-07
251,5.526778148931935e-07
252,0.0
253,0.001108974741768692
254,0.00039285523668902445
255,1.9703166975696237e-05
256,0.0006265045726551218
257,1.1955541734771818e-05
258,0.0
259,0.0
260,0.0
261,8.436547296392184e-07
262,2.452927815464691e-05
263,0.0
264,7.406229678727642e-05
265,0.0005287183275290442
266,0.004914654355416562
267,0.0004197452323906001
268,2.0780899011067297e-06
269,0.05666444715521163
270,0.040404302300553335
271,0.049240311830346065
272,0.4346241940027724
273,0.15835536665296432
274,0.0
275,0.0
276,0.0
277,4.695314433094549e-05
278,0.00010648071263113218
279,0.00023788786127290187
280,0.0
281,0.0
282,0.00015759514476610078
283,0.00010660808293560235
284,0.00020433063857725958
