,prop_flood_prone
0,0.128885086968919
1,0.556100374963946
2,0.0
3,0.0
4,0.598682325981094
5,0.025706940874036
6,0.339936836060867
7,0.384879725085911
8,1.0
9,0.210796915167095
10,0.0
11,0.0
12,0.486111111111111
13,0.0
14,0.0
15,0.0
16,0.486283569159688
17,0.00170309395401646
18,0.351382488479263
19,0.148826559816829
20,0.643163003140166
21,0.81113662456946
22,0.785857429144002
23,0.952599827635737
24,0.491043502985499
25,0.315622292809703
26,0.43019943019943
27,0.472837022132797
28,0.0324786324786325
29,0.0
30,0.0
31,0.0
32,0.0485021398002853
33,0.247119815668203
34,0.173962478681069
35,0.0
36,0.0
37,0.0
38,0.0
39,0.194927329723568
40,0.0347121781891814
41,0.684900284900285
42,0.466973004020678
43,0.977207977207977
44,0.968171296296296
45,0.874643874643875
46,0.33841726618705
47,0.0483229107447413
48,0.856115107913669
49,0.49584646233171
50,0.451002865329513
51,0.653166001140901
52,0.0
53,0.340941924299335
54,0.0
55,0.0
56,0.277809147374365
57,0.47337962962963
58,0.0854700854700855
59,0.0
60,0.15954415954416
61,0.160045727350672
62,0.520708369037418
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0454674623472578
68,0.0115740740740741
69,0.262108262108262
70,0.21875
71,0.274643874643875
72,0.0172314761631246
73,0.0
74,0.0
75,0.216524216524217
76,0.247482014388489
77,0.0
78,0.434409831380394
79,0.0
80,0.00853727945361412
81,0.300925925925926
82,0.308262108262108
83,0.378472222222222
84,0.0683760683760684
85,0.279513888888889
86,0.0837606837606838
87,0.47534910230835
88,0.534453302961276
89,0.0643578643578644
90,0.0399885746929449
91,0.465255933657421
92,0.245892187950418
93,0.0
94,0.127314814814815
95,0.0484330484330484
96,0.0
97,0.0
98,0.0694444444444444
99,0.0341880341880342
100,0.0
101,0.0512820512820513
102,0.637731481481482
103,0.0102564102564103
104,0.0068649885583524
105,0.269740634005764
106,0.0
107,0.0
108,0.0
109,0.0
110,0.270655270655271
111,0.44793152639087
112,0.123076923076923
113,0.391954022988506
114,0.478632478632479
115,0.0
116,0.0797720797720798
117,0.0
118,0.0936599423631124
119,0.921082621082621
120,0.797453703703704
121,0.357834757834758
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0425347222222222
127,0.092022792022792
128,0.0896990740740741
129,0.0968660968660969
130,0.0498424520194787
131,0.387338129496403
132,0.47008547008547
133,0.300925925925926
134,0.0
135,0.0665509259259259
136,0.958974358974359
137,0.910300925925926
138,0.96011396011396
139,0.751157407407407
140,0.44017094017094
141,0.0078125
142,0.0
143,0.100719424460432
144,0.0
145,0.0
146,0.0
147,0.0
148,0.242476851851852
149,0.915669515669516
150,1.0
151,0.818803418803419
152,0.00806451612903226
153,0.787635947338294
154,0.0237210631609031
155,0.0
156,0.462989425550157
157,0.449928263988522
158,0.373714285714286
159,0.586206896551724
160,0.896443812233286
161,0.538773148148148
162,0.0
163,0.345086705202312
164,0.617094017094017
165,0.0
166,0.0
167,0.201380897583429
168,0.171248568155785
169,0.467902995720399
170,0.637931034482759
171,0.385934819897084
172,0.166809974204643
173,0.435166714163579
174,0.154179924790281
175,0.312092891532144
176,0.340277777777778
177,0.111111111111111
178,0.589136087835886
179,0.371987524808619
180,0.389400921658986
181,0.559530623926732
182,0.554192812321734
183,0.0
184,0.0
185,0.0
186,0.00622524052065648
187,0.0
188,0.0
189,0.0
190,0.00226308345120226
191,0.505787037037037
192,0.793732193732194
193,0.724416258287691
194,0.987510644337213
195,1.0
196,1.0
197,0.827093455272935
198,0.936480686695279
199,0.193732193732194
200,0.396412037037037
201,0.725356125356125
202,0.573241061130334
203,0.696058973631982
204,0.0
205,0.267806267806268
206,0.0115340253748558
207,0.0
208,0.343857634902411
209,0.241815048822516
210,0.0
211,0.0
212,0.0
213,0.0
214,0.427635327635328
215,0.0344328703703704
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.00859845227858985
222,0.610871440897325
223,0.0529612756264237
224,0.0
225,0.0
226,0.0
227,0.0142450142450142
228,0.483217592592593
229,0.00256410256410256
230,0.574590399540098
231,0.311350127370507
232,0.389048991354467
233,0.471967963386728
234,0.0
235,0.0115340253748558
236,0.0
237,0.381944444444444
238,0.0168871376301717
239,0.34208249206807
240,0.0162393162393162
241,0.479456018518519
242,0.0
243,0.00347222222222222
244,0.136182336182336
245,0.0
246,0.306766055045872
247,0.382978723404255
248,0.157789803474793
249,0.0313390313390313
250,0.0543981481481482
251,0.0364672364672365
252,0.0
253,0.427350427350427
254,0.222222222222222
255,0.0541310541310541
256,0.424768518518519
257,0.203418803418803
258,0.0
259,0.0
260,0.0
261,0.0
262,0.19020979020979
263,0.0
264,0.170940170940171
265,0.341435185185185
266,0.515669515669516
267,0.115740740740741
268,0.113960113960114
269,0.482060185185185
270,0.260683760683761
271,0.812250712250712
272,0.958333333333333
273,0.682621082621083
274,0.0
275,0.0
276,0.0
277,0.188034188034188
278,0.336516203703704
279,0.301139601139601
280,0.0
281,0.0
282,0.379487179487179
283,0.285300925925926
284,0.476353276353276
285,0.700231481481482
286,0.353276353276353
287,0.00868055555555556
288,0.640740740740741
289,0.747395833333333
290,1.0
291,0.612268518518518
292,0.637891737891738
293,0.562210648148148
294,0.165242165242165
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.103359173126615
301,0.380626780626781
302,0.158564814814815
303,0.015954415954416
304,0.00286532951289398
305,0.688178183894917
306,0.0249928181557024
307,0.0
308,0.421565815887583
309,0.27715996578272
310,0.959814975426424
311,0.971663360725418
312,0.673321759259259
313,0.773504273504274
314,0.707317073170732
315,0.938285714285714
316,0.18521714121369
317,0.0
318,0.0831422018348624
319,0.30764807360552
320,0.308326229042342
321,0.717334871646957
322,0.0820512820512821
323,0.0
324,0.0
325,0.0572916666666667
326,0.399430199430199
327,0.00344036697247706
328,0.459428571428571
329,0.00574877838459327
330,0.447420917640353
331,0.0896334478808706
332,0.0023028209556707
333,0.0256702795208214
334,0.471432672983061
335,0.301994301994302
336,0.0
337,0.204778156996587
338,0.484595450619061
339,0.51994301994302
340,0.397694524495677
341,0.416168516937091
342,0.563573883161512
343,0.534750143595635
344,0.413714285714286
345,1.0
346,1.0
347,1.0
348,1.0
349,0.75860075166233
350,0.70996038483305
351,0.121387283236994
352,0.114660581859669
353,0.834339948231234
354,0.862990335417851
355,0.543789353176875
356,0.0
357,0.133903133903134
358,0.0636574074074074
359,0.00282406099971759
360,0.677083333333333
361,0.897435897435897
362,0.0289351851851852
363,0.0
364,0.0
365,0.0
366,0.0197764402407567
367,0.0261719873454127
368,0.0113960113960114
369,0.409911200229161
370,0.00227855311876958
371,0.0
372,0.0
373,0.0
374,0.461538461538462
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.601099218975991
381,0.444792259533295
382,0.260509007720904
383,0.296296296296296
384,0.0115740740740741
385,0.326495726495727
386,0.160300925925926
387,0.0
388,0.24431654676259
389,0.447473026689381
390,0.185552407932011
391,0.203585887796414
392,0.132763532763533
393,0.196759259259259
394,0.270655270655271
395,0.0
396,0.0
397,0.0
398,0.33172667989793
399,0.0
400,0.0679611650485437
401,0.447135936164149
402,0.578825571304599
403,0.18005698005698
404,0.101273148148148
405,0.299145299145299
406,0.0787037037037037
407,0.290598290598291
408,0.0486111111111111
409,0.0
410,0.0
411,0.0
412,0.0822377622377622
413,0.128809660724554
414,0.34985754985755
415,0.257523148148148
416,0.0
417,0.0
418,0.123361823361823
419,0.436053240740741
420,0.0
421,0.469907407407407
422,0.323361823361823
423,0.0259259259259259
424,0.356481481481482
425,0.933048433048433
426,0.115162037037037
427,0.346153846153846
428,0.158564814814815
429,0.362393162393162
430,0.0
431,0.374928774928775
432,0.00983796296296297
433,0.128205128205128
434,0.219373219373219
435,0.171296296296296
436,0.0441595441595442
437,0.780671296296296
438,0.118233618233618
439,0.222800925925926
440,0.664672364672365
441,0.277488425925926
442,0.606837606837607
443,1.0
444,0.752421652421652
445,0.16079105760963
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0632478632478632
456,0.00544256659982813
457,0.93730317778414
458,0.0556983718937446
459,0.0103896103896104
460,0.322845804988662
461,0.271990740740741
462,0.385185185185185
463,0.775926457914393
464,0.942906080502427
465,0.772374100719424
466,0.38034188034188
467,0.440619621342513
468,0.333333333333333
469,0.0852757248436612
470,0.256632064590542
471,0.446438746438746
472,0.841484464902187
473,0.272934472934473
474,0.0
475,0.0
476,0.0
477,0.0
478,0.332378223495702
479,0.0
480,0.158135544752645
481,0.140386278466417
482,0.280294450736127
483,0.407118055555556
484,0.0
485,0.00981524249422633
486,0.0385815602836879
487,0.0
488,0.0
489,0.0
490,0.0932300631095812
491,0.00715102974828375
492,0.0
493,0.724391624221845
494,0.304976851851852
495,0.0
496,0.604166666666667
497,1.0
498,0.999711149624495
499,0.814783105022831
500,0.879275653923541
501,0.11923733636881
502,0.757220474692594
503,0.198904583453445
504,0.495726495726496
505,0.357989020514302
506,0.926994906621392
507,0.275462962962963
508,0.448717948717949
509,0.7398091934085
510,0.0
511,0.16082711085583
512,0.0946100917431193
513,0.565714285714286
514,0.0548182342758223
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.290760101723651
522,0.532183908045977
523,0.0172117039586919
524,0.0
525,0.13868824039295
526,0.55218377765173
527,0.0
528,0.0
529,0.0
530,0.0
531,0.317418981481482
532,0.67948717948718
533,0.00793875815140346
534,0.0
535,0.0455840455840456
536,0.295138888888889
537,0.0324786324786325
538,0.41087962962963
539,0.0358974358974359
540,0.23028209556707
541,0.10665914221219
542,0.203125
543,0.0598290598290598
544,0.27785734746491
545,0.0
546,0.62962962962963
547,0.0520833333333333
548,0.0
549,0.358376511226252
550,0.497470489038786
551,0.555555555555556
552,0.432478632478632
553,0.111689814814815
554,0.0558404558404558
555,0.14717626925271
556,0.573410404624277
557,0.290598290598291
558,0.0289351851851852
559,0.0
560,0.0
561,0.0227920227920228
562,0.150895140664962
563,0.0
564,0.0361480624638519
565,0.0550171037628278
566,0.562108262108262
567,0.600115740740741
568,0.0527065527065527
569,0.0115740740740741
570,0.144444444444444
571,0.197627314814815
572,0.483760683760684
573,0.590856481481482
574,0.131054131054131
575,0.0
576,0.00171870524205099
577,0.722792022792023
578,0.774594907407407
579,0.754985754985755
580,0.622685185185185
581,0.144444444444444
582,0.153645833333333
583,0.106552706552707
584,0.534143518518518
585,0.165242165242165
586,0.0
587,0.0
588,0.0752136752136752
589,0.448784722222222
590,0.537037037037037
591,0.0
592,0.178632478632479
593,0.510706018518518
594,0.951566951566952
595,0.148726851851852
596,0.317663817663818
597,0.407122507122507
598,0.37037037037037
599,0.193732193732194
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.000852030673104232
607,0.511555806087937
608,0.0
609,0.297189894975873
610,0.0158913608783589
611,0.28034188034188
612,0.432393555811277
613,0.521094640820981
614,0.810592976396085
615,0.934472934472934
616,0.856445592879701
617,0.492977930639152
618,0.607753705815279
619,0.74387784500144
620,0.10250569476082
621,0.0
622,0.0507122507122507
623,0.906855655192363
624,0.511476338906206
625,0.650720461095101
626,0.011441647597254
627,0.195832143876677
628,0.0109101349411427
629,0.0
630,0.0
631,0.0
632,0.0
633,0.0
634,0.0
635,0.348532345397549
636,0.0740207373271889
637,0.0
638,0.0
639,0.0
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,0.435956346927053
646,0.0
647,0.177553956834532
648,0.994275901545507
649,0.806598407281001
650,0.661963720126692
651,0.331623931623932
652,0.945023148148148
653,0.161955907292256
654,0.608217592592593
655,0.180626780626781
656,0.552281917966493
657,0.881087202718007
658,0.365412237862683
659,0.163558106169297
660,0.844089091947459
661,0.672632794457275
662,0.0361581920903955
663,0.547453703703704
664,0.0
665,0.015625
666,0.0643874643874644
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.239316239316239
674,0.78125
675,0.481481481481482
676,0.0434027777777778
677,0.0
678,0.440557451649602
679,0.345944396675265
680,0.45750142612664
681,0.596242774566474
682,0.695156695156695
683,0.750289351851852
684,0.318631608707945
685,0.0
686,0.0
687,0.0
688,0.211126961483595
689,0.0
690,0.0161336790550274
691,0.109246088193457
692,0.00571102227298687
693,0.298290598290598
694,0.191840277777778
695,0.0
696,0.399305555555556
697,0.0
698,0.460034502587694
699,0.412844036697248
700,0.803571428571429
701,0.211022272986865
702,0.0
703,0.0810185185185185
704,0.478062678062678
705,0.435763888888889
706,0.517378917378917
707,0.37037037037037
708,0.222222222222222
709,0.056980056980057
710,0.115740740740741
711,0.127065527065527
712,0.333907056798623
713,0.316083916083916
714,0.03731559155337
715,0.0
716,0.0
717,0.0626780626780627
718,0.487098623853211
719,0.332374928119609
720,0.403133903133903
721,0.0578703703703704
722,0.0
723,0.180844907407407
724,0.415099715099715
725,0.514467592592593
726,0.0
727,0.0
728,0.0324786324786325
729,0.12991452991453
730,0.274884259259259
731,0.886039886039886
732,0.896990740740741
733,0.645584045584046
734,0.0228587962962963
735,0.320512820512821
736,0.15625
737,0.182336182336182
738,0.481481481481482
739,0.0491898148148148
740,0.122222222222222
741,0.1015625
742,0.487179487179487
743,0.486111111111111
744,0.468660968660969
745,0.0439814814814815
746,0.904558404558405
747,0.392156862745098
748,0.323899371069182
749,0.525641025641026
750,0.300925925925926
751,0.0113960113960114
752,0.0
753,0.0
754,0.0
755,0.0
756,0.0
757,0.0
758,0.158689458689459
759,0.0901497695852535
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0453120547164434
767,0.179134422470622
768,0.734541271210814
769,0.346776483953422
770,0.745958429561201
771,1.0
772,0.881151079136691
773,0.702279202279202
774,0.425317185697809
775,1.0
776,0.763052208835341
777,0.56142365097589
778,0.489854244069734
779,0.0811353211009174
780,0.0
781,0.0
782,0.0
783,0.0
784,0.0
785,0.0
786,0.0
787,0.00773638968481375
788,0.21662830840046
789,0.0
790,0.0173460537727667
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,0.0
799,0.265011547344111
800,0.48967468175389
801,0.087962962962963
802,0.488888888888889
803,0.629554655870445
804,0.882336263113127
805,0.151262916188289
806,0.309544282029235
807,0.0160091480846198
808,0.391003460207612
809,0.649053404916643
810,0.00607638888888889
811,0.296866096866097
812,0.810763888888889
813,0.79246885617214
814,0.891891891891892
815,0.37070938215103
816,0.0
817,0.0
818,0.0
819,0.0
820,0.0111111111111111
821,0.448784722222222
822,0.0170940170940171
823,0.0
824,0.0
825,0.0286697247706422
826,0.0
827,0.056980056980057
828,0.496527777777778
829,0.0180893159977388
830,0.548759376803231
831,0.813390313390313
832,0.142650462962963
833,0.0
834,0.0258323765786452
835,0.0
836,0.28184892897407
837,0.115740740740741
838,0.0
839,0.0
840,0.0
841,0.0
842,0.0
843,0.0
844,0.0114646030381198
845,0.418803418803419
846,0.0
847,0.0
848,0.509259259259259
849,0.0683760683760684
850,0.390625
851,0.0
852,0.128555176336746
853,0.841578495853589
854,0.454700854700855
855,0.398148148148148
856,0.243874643874644
857,0.565393518518518
858,0.593162393162393
859,0.0555555555555556
860,0.0341880341880342
861,0.0
862,0.153889997150185
863,0.329128118867396
864,0.00744985673352436
865,0.0
866,0.0
867,0.0
868,0.0520833333333333
869,0.0
870,0.0
871,0.0
872,0.113960113960114
873,0.706018518518518
874,0.421652421652422
875,0.467303240740741
876,0.335327635327635
877,0.369791666666667
878,0.0
879,0.167534722222222
880,0.1
881,0.0
882,0.0072337962962963
883,0.457264957264957
884,0.519675925925926
885,0.974358974358974
886,0.844618055555556
887,0.121082621082621
888,0.0717592592592593
889,0.407977207977208
890,0.0313390313390313
891,0.083912037037037
892,0.0
893,0.0
894,0.515669515669516
895,0.763888888888889
896,0.941880341880342
897,0.390914351851852
898,0.442450142450142
899,0.869515669515669
900,0.837094907407407
901,0.101139601139601
902,0.0115740740740741
903,0.0
904,0.0
905,0.0
906,0.0
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0431778929188256
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.434757834757835
921,0.895827338129496
922,0.868945868945869
923,1.0
924,1.0
925,0.562266321541559
926,0.0877042132416165
927,0.213553530751708
928,0.705814622913069
929,0.725199543899658
930,0.577055779183439
931,0.630484330484331
932,0.323886639676113
933,0.0
934,0.0
935,0.0377898654451761
936,0.116905444126075
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,0.262108262108262
943,0.293863439930856
944,0.279909065075305
945,0.256233877901978
946,0.0244463618061547
947,0.00741163055872292
948,0.0
949,0.0
950,0.0
951,0.334472934472934
952,0.00171772115659891
953,0.0617319234066876
954,0.00114678899082569
955,0.0
956,0.336538461538462
957,0.0292160833092277
958,0.0
959,0.0115740740740741
960,0.0113154172560113
961,0.129757785467128
962,0.212796343901742
963,0.680137575236457
964,0.936439459303998
965,1.0
966,0.791666666666667
967,0.0256410256410256
968,0.0
969,0.0
970,0.0
971,0.0159908623643632
972,0.251002865329513
973,0.560414269275029
974,0.0
975,0.0137535816618911
976,0.0376068376068376
977,0.0
978,0.0
979,0.0
980,0.367294520547945
981,0.914164305949008
982,0.439965447739706
983,0.58974358974359
984,0.0
985,0.0
986,0.0
987,0.0
988,0.0144425187752744
989,0.579337899543379
990,0.254072592169191
991,0.317565618690511
992,0.116809116809117
993,0.0
994,0.0563539025077487
995,0.0
996,0.0
997,0.0
998,0.0
999,0.148232611174458
1000,0.430884904569115
1001,0.216524216524217
1002,0.406809001731102
1003,0.0
1004,0.0
1005,0.501994301994302
1006,0.449509521061743
1007,0.0125714285714286
1008,0.329344729344729
1009,0.0
1010,0.385185185185185
1011,0.546296296296296
1012,0.213675213675214
1013,0.325742288844047
1014,0.0503496503496503
1015,0.379419373383156
1016,0.369098712446352
1017,0.185185185185185
1018,0.00578703703703704
1019,0.0
1020,0.417534722222222
1021,0.311965811965812
1022,0.240740740740741
1023,0.297720797720798
1024,0.577618364418938
1025,0.273484630853203
1026,0.156695156695157
1027,0.0
1028,0.0507122507122507
1029,0.385416666666667
1030,0.353276353276353
1031,0.107349537037037
1032,0.378632478632479
1033,0.339031339031339
1034,0.0434027777777778
1035,0.276353276353276
1036,0.00686695278969957
1037,0.47020979020979
1038,0.999147727272727
1039,0.551048951048951
1040,0.471590909090909
1041,0.0246153846153846
1042,0.257342657342657
1043,0.103409090909091
1044,0.356923076923077
1045,0.130747126436782
1046,0.172364672364672
1047,0.0
1048,0.0396011396011396
1049,0.27025462962963
1050,0.574643874643875
1051,0.285754985754986
1052,0.0338541666666667
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,0.0
1063,0.00607638888888889
1064,0.143788996029495
1065,0.0
1066,0.120171673819742
1067,0.204681701398801
1068,0.0
1069,0.0
1070,0.0
1071,0.0
1072,0.33275462962963
1073,0.455369793142533
1074,0.567723342939481
1075,0.415903890160183
1076,0.770262557077626
1077,0.709853490376329
1078,0.00513992004568818
1079,0.0
1080,0.0113960113960114
1081,0.393518518518519
1082,0.719626168224299
1083,0.7164265129683
1084,0.207093821510298
1085,0.435860889395667
1086,0.146881287726358
1087,0.0136947218259629
1088,0.459982663969951
1089,0.0
1090,0.00868055555555556
1091,0.0
1092,0.0915855752718947
1093,0.37310443490701
1094,0.234957020057307
1095,0.453394706559264
1096,0.174122310305776
1097,0.27943303442291
1098,0.585470085470085
1099,0.540415704387991
1100,0.0204197390811117
1101,0.0
1102,0.0
1103,0.0
1104,0.0
1105,0.0
1106,0.0
1107,0.0
1108,0.295251798561151
1109,0.0951566951566952
1110,0.0
1111,0.454128440366973
1112,0.470671578350808
1113,0.386724386724387
1114,0.911111111111111
1115,0.859664351851852
1116,0.987241281542387
1117,1.0
1118,1.0
1119,0.599885189437428
1120,0.54566341183228
1121,0.0339174674957603
1122,0.0
1123,0.305413105413105
1124,0.880787037037037
1125,0.0894586894586895
1126,0.0
1127,0.182850653038047
1128,0.090466647580876
1129,0.0
1130,0.0
1131,0.0
1132,0.45772266065389
1133,0.359953703703704
1134,0.0
1135,0.265264976958525
1136,0.0970234688036634
1137,0.0
1138,0.0
1139,0.00113378684807256
1140,0.453125
1141,0.356125356125356
1142,0.46875
1143,0.0
1144,0.218140068886338
1145,0.393835616438356
1146,0.0452488687782805
1147,0.0
1148,0.0
1149,0.0
1150,0.0
1151,0.0
1152,0.433048433048433
1153,0.0
1154,0.397953382603752
1155,0.0
1156,0.0
1157,0.251282051282051
1158,0.940393518518518
1159,0.0763532763532764
1160,0.235226289997117
1161,0.109808407206177
1162,0.0
1163,0.3125
1164,0.343405817565659
1165,0.0
1166,0.0
1167,0.335648148148148
