,flood_depth
0,0.0100491983040058
1,0.0457399916779524
2,0.0
3,0.0
4,0.417524986299872
5,0.00142402289357059
6,0.0247363502049015
7,0.0233973255135622
8,0.0834651697951903
9,0.0138616052500625
10,0.0
11,0.0
12,0.115352250911571
13,0.0
14,0.0
15,0.0
16,0.0355665849668595
17,0.00014596982940232
18,0.262253756896691
19,0.231379403614902
20,0.473204880348791
21,0.461609569948111
22,0.70847918152502
23,0.452806568666287
24,0.242643593318224
25,0.289312055886842
26,0.217134133363381
27,0.134719475825376
28,0.0027748042701656
29,0.0
30,0.0
31,0.0
32,0.00295541629981723
33,0.0294496826312509
34,0.0420086000235397
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0185765603153276
40,0.00995316200598423
41,0.322243045469974
42,0.0779878505682685
43,0.195444827609592
44,0.430504816549796
45,0.0950267324420462
46,0.0243243539933678
47,0.00348304197692004
48,0.164787764514951
49,0.0630423011222496
50,0.100894995746777
51,0.0596404415637646
52,0.0
53,0.0356260540512248
54,0.0
55,0.0
56,0.113821467997865
57,0.0572096506754557
58,0.00476543719951923
59,0.0
60,0.0110633610999822
61,0.0365353584562107
62,0.0694054061771971
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0026974104859335
68,0.000693709762008102
69,0.215712761946893
70,0.120747813472041
71,0.0210298978365385
72,0.000992303330072516
73,0.0
74,0.0
75,0.344296642857739
76,0.252372511170751
77,0.0
78,0.176885691531286
79,0.0
80,0.0155594054446277
81,1.29171400158494
82,0.762851391219006
83,0.0670663162514016
84,0.00435888393652066
85,0.135989162656996
86,0.0362223046457666
87,0.19201247051388
88,0.445898242854855
89,0.0579460815605835
90,0.00421479918962886
91,0.103430290102175
92,0.0260661772054154
93,0.0
94,0.00978906949361165
95,0.00439918278968572
96,0.0
97,0.0
98,0.0096848275926378
99,0.00256451989850427
100,0.0
101,0.0163364682102475
102,0.143653693022551
103,0.00150052584134615
104,0.00239796933102117
105,0.0417216276229287
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0398611954474381
111,0.104753763631475
112,0.0619016420591128
113,0.265906489580527
114,0.423929480745582
115,0.0
116,0.00575649772274528
117,0.0
118,0.125481234503754
119,1.60898757239013
120,0.821562475628323
121,0.022873785556891
122,0.0
123,0.0
124,0.0
125,0.0
126,0.00271972020467122
127,0.0064815684261485
128,0.00550325270052309
129,0.00692353425202546
130,0.0035540128088858
131,0.0688875530435027
132,0.177814864025496
133,0.138618040967871
134,0.0
135,0.0317532265627826
136,0.237979925867499
137,0.0977357648037098
138,0.103479236483234
139,0.0520807681260286
140,0.0307058698431379
141,0.000442147254943848
142,0.0
143,0.00589582045301259
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0220599351105867
149,0.104563551682692
150,0.129576435795537
151,0.150790274856437
152,0.000546165325674593
153,0.0761751590896895
154,0.00237517726186276
155,0.0
156,0.241454474140352
157,0.0285620493731506
158,0.023157963344029
159,0.0390733532521917
160,0.0678472787523337
161,0.0370797934355559
162,0.0
163,0.0366880692498532
164,0.114656510312333
165,0.0
166,0.0
167,0.0126238385058931
168,0.0122764735970164
169,0.136558891873217
170,0.822691656529218
171,0.395228656923655
172,0.0100566703291259
173,0.0670100810283879
174,0.0241844369249948
175,0.0793690601782095
176,0.0431387689378527
177,0.0683018611027644
178,0.294972911042239
179,0.181155302925424
180,0.181175056141093
181,0.165265677789995
182,0.0732479019295605
183,0.0
184,0.0
185,0.0
186,0.00223639271794974
187,0.0
188,0.0
189,0.0
190,0.000270229485281117
191,0.172782262166341
192,0.310751329731737
193,0.132434305040937
194,0.092803783996045
195,0.128470018613006
196,0.471481838001796
197,0.0607095082237503
198,0.0592605001425027
199,0.0103735855841569
200,0.0588907798131307
201,0.158778346569789
202,0.325758435734416
203,0.157595473036132
204,0.0
205,0.0227553321425392
206,0.000714540756559977
207,0.0
208,0.117361390631727
209,0.0304950361344953
210,0.0
211,0.0
212,0.0
213,0.0
214,0.052186210610588
215,0.0024163943749887
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.00629113444150365
222,0.389038717880447
223,0.00552963395868184
224,0.0
225,0.0
226,0.0
227,0.00463799805383057
228,0.346336364746094
229,0.00400781876001603
230,0.719453000789334
231,0.485595521729829
232,1.0105391620559
233,1.46186479441907
234,0.0
235,0.000601023813707468
236,0.0
237,0.171873613640114
238,0.00358519270961599
239,0.165786580321491
240,0.0104246568815661
241,0.557550121236731
242,0.0
243,0.000530560811360677
244,0.0176024347288996
245,0.0
246,0.062200913735486
247,0.0418263536818484
248,0.0163062260518282
249,0.00333194569644765
250,0.00359816021389431
251,0.00271249972177707
252,0.0
253,0.208254474520344
254,0.121806586230243
255,0.0234191981475917
256,0.103622957512184
257,0.0186375805455395
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0141938322907561
263,0.0
264,0.0259334205562233
265,0.108935170703464
266,0.675059435374377
267,0.250901292871546
268,0.00661064213157719
269,0.264403683167917
270,0.22661953352795
271,0.612928621993106
272,2.50760674918139
273,1.04812431226768
274,0.0
275,0.0
276,0.0
277,0.018858972098413
278,0.0303423360542015
279,0.0553570652279759
280,0.0
281,0.0
282,0.0360101509637642
283,0.0290289190080431
