,flood,formal_structure_damages,subsidized_structure_damages,informal_structure_damages,backyard_structure_damages,formal_content_damages,subsidized_content_damages,informal_content_damages,backyard_content_damages
0,C_MERITDEM_1_0000,6141141.127055157,0.0,0.0,0.0,2695758.001088377,0.0,0.0,0.0
1,C_MERITDEM_1_0002,49358974.378980026,632.4297355504253,0.0,0.0,28685614.80706339,18.505553375750704,0.0,0.0
2,C_MERITDEM_1_0005,69690530.99480991,7499.3089314041845,0.0,0.0,39294145.314641714,210.46182128828642,0.0,0.0
3,C_MERITDEM_1_0010,76297606.95855094,13077.406967572771,0.0,0.0,42912656.21022763,332.87754410409497,0.0,0.0
4,C_MERITDEM_1_0025,82369943.66918975,20451.71872950143,0.0,0.0,46521285.47256026,511.986379411055,0.0,0.0
5,C_MERITDEM_1_0050,96078356.66153827,26030.504666491615,0.0,0.0,53238185.11174863,693.365371021715,0.0,0.0
6,C_MERITDEM_1_0100,101347242.50353947,31473.58998349352,0.0,0.0,57017353.00792244,874.7545728400765,0.0,0.0
7,C_MERITDEM_1_0250,108725079.96490192,34804.51864302667,0.0,0.0,62365691.55568202,1116.749724237814,0.0,0.0
