,flood_depth,prop_flood_prone,sim_poor,sim_midpoor,sim_midrich,sim_rich
108,0.0,0.0,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0,0.0,0.0
110,0.00854831271701389,0.142450142450142,0.0,0.0,0.0,0.0
111,0.0383889800981856,0.30527817403709,0.0,0.0,0.0,0.0
112,0.0119083858036495,0.0587412587412587,0.0,0.0,0.0,0.0
113,0.0536066559539444,0.302873563218391,0.0,0.0,0.0,0.0
114,0.0792330445727052,0.37037037037037,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0,0.0,0.0
121,0.0,0.0,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0,0.0,0.0
126,0.0,0.0,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0,0.0,0.0
129,0.000743050860543536,0.0142450142450142,0.0,0.0,0.0,0.0
130,0.000295546702961633,0.00515611572615296,0.0,0.0,0.0,0.0
131,0.0215535028032262,0.248057553956835,0.0,0.0,0.0,0.0
132,0.043467703707877,0.179487179487179,0.0,0.0,0.0,0.0
133,0.0357297835526643,0.217013888888889,0.0,0.0,0.0,0.0
134,0.0,0.0,0.0,0.0,0.0,0.0
135,0.0120964315202501,0.0405092592592593,0.0,0.0,0.0,0.0
136,0.0914709085752482,0.434472934472934,0.0,0.0,0.0,0.0
137,0.0162415261621828,0.2734375,0.0,0.0,0.0,0.0
138,0.00400817088591747,0.0598290598290598,0.0,0.0,0.0,0.0
139,0.0,0.0,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0,0.0,0.0
144,0.0,0.0,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0,0.0,0.0
146,0.0,0.0,0.0,0.0,0.0,0.0
147,0.0,0.0,0.0,0.0,0.0,0.0
148,0.0,0.0,0.0,0.0,0.0,0.0
149,0.00602929965722934,0.110541310541311,0.0,0.0,0.0,0.0
150,0.0365511576334635,0.578703703703704,0.0,0.0,0.0,0.0
151,0.064990964710203,0.739031339031339,0.0,0.0,0.0,0.0
152,0.0,0.0,0.0,0.0,0.0,0.0
153,0.0,0.0,0.0,0.0,0.0,0.0
154,0.0,0.0,0.0,0.0,0.0,0.0
155,0.0,0.0,0.0,0.0,0.0,0.0
156,0.0301254841558386,0.185767362103458,0.0,0.0,0.0,0.0
157,0.0,0.0,0.0,0.0,0.0,0.0
158,0.0,0.0,0.0,0.0,0.0,0.0
159,0.0,0.0,0.0,0.0,0.0,0.0
160,0.0,0.0,0.0,0.0,0.0,0.0
161,0.0,0.0,0.0,0.0,0.0,0.0
162,0.0,0.0,0.0,0.0,0.0,0.0
163,0.0,0.0,0.0,0.0,0.0,0.0
164,0.0,0.0,0.0,0.0,0.0,0.0
165,0.0,0.0,0.0,0.0,0.0,0.0
166,0.0,0.0,0.0,0.0,0.0,0.0
167,0.0,0.0,0.0,0.0,0.0,0.0
168,0.0,0.0,0.0,0.0,0.0,0.0
169,0.0230874490125713,0.0536376604850214,0.0,0.0,0.0,0.0
170,0.122407290579259,0.520689655172414,0.0,0.0,0.0,0.0
171,0.0829597634543958,0.228702115494568,0.0,0.0,0.0,0.0
172,0.0,0.0,0.0,0.0,0.0,0.0
173,0.00797504371780043,0.107438016528926,0.0,0.0,0.0,0.0
174,0.00456045568420393,0.0673994793173272,0.0,0.0,0.0,0.0
175,0.00536241209969511,0.0843953554233928,0.0,0.0,0.0,0.0
176,0.000610793078387225,0.0115740740740741,0.0,0.0,0.0,0.0
177,0.0188564724392361,0.0769230769230769,0.0,0.0,0.0,0.0
178,0.0628431089280555,0.38977174227102,0.0,0.0,0.0,0.0
179,0.0465460123744064,0.284094130989509,0.0,0.0,0.0,0.0
180,0.0556530930479551,0.259216589861751,0.0,0.0,0.0,0.0
181,0.0530182260339712,0.374069834001145,0.0,0.0,0.0,0.0
182,0.0155727083997188,0.166286366229321,0.0,0.0,0.0,0.0
183,0.0,0.0,0.0,0.0,0.0,0.0
184,0.0,0.0,0.0,0.0,0.0,0.0
185,0.0,0.0,0.0,0.0,0.0,0.0
186,0.000975906207997312,0.00622524052065648,0.0,0.0,0.0,0.0
187,0.0,0.0,0.0,0.0,0.0,0.0
188,0.0,0.0,0.0,0.0,0.0,0.0
189,0.0,0.0,0.0,0.0,0.0,0.0
190,0.0,0.0,0.0,0.0,0.0,0.0
191,0.0415291168071606,0.329861111111111,0.0,0.0,0.0,0.0
192,0.0724973673154825,0.528774928774929,0.0,0.0,0.0,0.0
193,0.0228385760344975,0.139521475929663,0.0,0.0,0.0,0.0
194,0.0,0.0,0.0,0.0,0.0,0.0
195,0.0,0.0,0.0,0.0,0.0,0.0
196,0.0776274793626521,0.505311513063451,0.0,0.0,0.0,0.0
197,0.0,0.0,0.0,0.0,0.0,0.0
198,0.0,0.0,0.0,0.0,0.0,0.0
199,0.0,0.0,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0,0.0,0.0
201,0.0,0.0,0.0,0.0,0.0,0.0
202,0.0,0.0,0.0,0.0,0.0,0.0
